bin,mean_predicted_probability,observed_frequency,count
0,0.027964580678678984,0.005820721769499418,32642
1,0.14218356957782702,0.04233870967741935,7440
2,0.2451011532892981,0.0803810657933909,3359
3,0.347034405510714,0.11077844311377245,2004
4,0.4479842574586168,0.17400568181818182,1408
5,0.5492195935214111,0.25957446808510637,1175
6,0.6496911223670474,0.34594594594594597,925
7,0.745716675032063,0.4419134396355353,878
8,0.8556515019299329,0.6508474576271186,885
9,0.9286656604577254,0.792225201072386,746
